title,genres,movie_id
Toy Story,Adventure|Animation|Children|Comedy|Fantasy,862
Jumanji,Adventure|Children|Fantasy,8844
Grumpier Old Men,Comedy|Romance,15602
Waiting to Exhale,Comedy|Drama|Romance,31357
Father of the Bride Part II,Comedy,11862
Heat,Action|Crime|Thriller,949
Sabrina,Comedy|Romance,11860
Tom and Huck,Adventure|Children,45325
Sudden Death,Action,9091
GoldenEye,Action|Adventure|Thriller,710
"American President, The",Comedy|Drama|Romance,9087
Dracula: Dead and Loving It,Comedy|Horror,12110
Balto,Adventure|Animation|Children,21032
Nixon,Drama,10858
Cutthroat Island,Action|Adventure|Romance,1408
Casino,Crime|Drama,524
Sense and Sensibility,Drama|Romance,4584
Four Rooms,Comedy,5
Ace Ventura: When Nature Calls,Comedy,9273
Money Train,Action|Comedy|Crime|Drama|Thriller,11517
Get Shorty,Comedy|Crime|Thriller,8012
Copycat,Crime|Drama|Horror|Mystery|Thriller,1710
Assassins,Action|Crime|Thriller,9691
Powder,Drama|Sci-Fi,12665
Leaving Las Vegas,Drama|Romance,451
Othello,Drama,16420
Now and Then,Children|Drama,9263
Persuasion,Drama|Romance,17015
"City of Lost Children, The",Adventure|Drama|Fantasy|Mystery|Sci-Fi,902
Shanghai Triad,Crime|Drama,37557
Dangerous Minds,Drama,9909
Twelve Monkeys,Mystery|Sci-Fi|Thriller,63
Babe,Children|Drama,9598
Dead Man Walking,Crime|Drama,687
It Takes Two,Children|Comedy,33689
Clueless,Comedy|Romance,9603
"Cry, the Beloved Country",Drama,34615
Richard III,Drama|War,31174
Dead Presidents,Action|Crime|Drama,11443
Restoration,Drama,35196
Mortal Kombat,Action|Adventure|Fantasy,9312
To Die For,Comedy|Drama|Thriller,577
How to Make an American Quilt,Drama|Romance,11861
Seven,Mystery|Thriller,807
Pocahontas,Animation|Children|Drama|Musical|Romance,10530
When Night Is Falling,Drama|Romance,8391
"Usual Suspects, The",Crime|Mystery|Thriller,629
Mighty Aphrodite,Comedy|Drama|Romance,11448
Lamerica,Adventure|Drama,49133
"Big Green, The",Children|Comedy,26441
Georgia,Drama,97406
Home for the Holidays,Drama,9089
"Postman, The",Comedy|Drama|Romance,11010
"Indian in the Cupboard, The",Adventure|Children|Fantasy,11359
Eye for an Eye,Drama|Thriller,17182
Mr. Holland's Opus,Drama,2054
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,10607
Two if by Sea,Comedy|Romance,19760
Bio-Dome,Comedy,9536
Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,11525
French Twist,Comedy|Romance,4482
Friday,Comedy,10634
From Dusk Till Dawn,Action|Comedy|Horror|Thriller,755
Fair Game,Action,11859
Kicking and Screaming,Comedy|Drama,28387
"Misérables, Les",Drama|War,48750
Bed of Roses,Drama|Romance,20927
Big Bully,Comedy|Drama,36929
Screamers,Action|Sci-Fi|Thriller,9102
Nico Icon,Documentary,124626
"Crossing Guard, The",Action|Crime|Drama|Thriller,27526
"Juror, The",Drama|Thriller,9623
"White Balloon, The",Children|Drama,46785
Things to Do in Denver When You're Dead,Crime|Drama|Romance,400
Antonia's Line,Comedy|Drama,880
Once Upon a Time... When We Were Colored,Drama|Romance,146599
Angels and Insects,Drama|Romance,8447
White Squall,Action|Adventure|Drama,10534
Dunston Checks In,Children|Comedy,17414
Black Sheep,Comedy,13997
Nick of Time,Action|Thriller,2086
Mary Reilly,Drama|Horror|Thriller,9095
Vampire in Brooklyn,Comedy|Horror|Romance,12158
Beautiful Girls,Comedy|Drama|Romance,9283
Broken Arrow,Action|Adventure|Thriller,9208
In the Bleak Midwinter,Comedy|Drama,40154
Hate,Crime|Drama,406
Heidi Fleiss: Hollywood Madam,Documentary,63076
City Hall,Drama|Thriller,11062
Bottle Rocket,Adventure|Comedy|Crime|Romance,13685
Mr. Wrong,Comedy,47475
Unforgettable,Mystery|Sci-Fi|Thriller,2045
Happy Gilmore,Comedy,9614
"Bridges of Madison County, The",Drama|Romance,688
Nobody Loves Me,Comedy|Drama,11907
Muppet Treasure Island,Adventure|Children|Comedy|Musical,10874
Catwalk,Documentary,89333
Braveheart,Action|Drama|War,197
Taxi Driver,Crime|Drama|Thriller,103
Rumble in the Bronx,Action|Adventure|Comedy|Crime,33542
Before and After,Drama|Mystery,43566
Anne Frank Remembered,Documentary,51352
"Young Poisoner's Handbook, The",Crime|Drama,16934
If Lucy Fell,Comedy|Romance,10324
"Steal Big, Steal Little",Comedy,78406
"Boys of St. Vincent, The",Drama,32119
Boomerang,Comedy|Romance,11066
Chungking Express,Drama|Mystery|Romance,11104
Flirting With Disaster,Comedy,2074
"NeverEnding Story III, The",Adventure|Children|Fantasy,27793
Jupiter's Wife,Documentary,290157
Pie in the Sky,Comedy|Romance,110972
Jade,Thriller,11863
Down Periscope,Comedy,9101
Man of the Year,Documentary,5757
Up Close and Personal,Drama|Romance,9302
"Birdcage, The",Comedy,11000
"Brothers McMullen, The",Comedy,16388
Bad Boys,Action|Comedy|Crime|Drama|Thriller,9737
"Amazing Panda Adventure, The",Adventure|Children,30765
"Basketball Diaries, The",Drama,10474
"Awfully Big Adventure, An",Drama,22279
Amateur,Crime|Drama|Thriller,30157
Apollo 13,Adventure|Drama|IMAX,568
Rob Roy,Action|Drama|Romance|War,11780
"Addiction, The",Drama|Horror,34996
Batman Forever,Action|Adventure|Comedy|Crime,414
Beauty of the Day,Drama,649
Beyond Rangoon,Adventure|Drama|War,1873
Blue in the Face,Comedy|Drama,5894
Canadian Bacon,Comedy|War,1775
Casper,Adventure|Children,8839
Clockers,Crime|Drama|Mystery,20649
Congo,Action|Adventure|Mystery|Sci-Fi,10329
Crimson Tide,Drama|Thriller|War,8963
Crumb,Documentary,26564
Desperado,Action|Romance|Western,8068
Devil in a Blue Dress,Crime|Film-Noir|Mystery|Thriller,8512
Die Hard: With a Vengeance,Action|Crime|Thriller,1572
"Doom Generation, The",Comedy|Crime|Drama,13552
First Knight,Action|Drama|Romance,6520
Free Willy 2: The Adventure Home,Adventure|Children|Drama,9073
Hackers,Action|Adventure|Crime|Thriller,10428
